"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 20:05:23 GMT 2024","Fri May 17 20:05:23 GMT 2024","499","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","correctEmail","correctEmail","Subscribing to the newsletter using correct email"
"passed","Fri May 17 20:12:59 GMT 2024","Fri May 17 20:12:59 GMT 2024","238","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:11:28 GMT 2024","Fri May 17 20:11:28 GMT 2024","66","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.InputTextVerificationTest","tests.shoppingcart.quantityfield.InputTextVerificationTest","checkInputText","checkInputText","Verification of the quantity field text input"
"failed","Fri May 17 20:11:01 GMT 2024","Fri May 17 20:11:03 GMT 2024","2222","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","notANumber","notANumber","Entering a special character"
"passed","Fri May 17 20:01:31 GMT 2024","Fri May 17 20:01:31 GMT 2024","57","Main menu","The 'Sale' dropdown list","tests.mainmenu.saledropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.saledropdownlist.ExpandingAndCollapsingTest","collapsingDropdownList","collapsingDropdownList",""
"passed","Fri May 17 19:59:27 GMT 2024","Fri May 17 19:59:27 GMT 2024","643","Main menu","The 'Women' dropdown list","tests.mainmenu.womendropdownlist.WomenDropdownListTest","tests.mainmenu.womendropdownlist.WomenDropdownListTest","newArrivalsLink","newArrivalsLink","The ""New Arrivals"" link"
"passed","Fri May 17 20:06:14 GMT 2024","Fri May 17 20:06:15 GMT 2024","480","Footer","Sections links","tests.footerlinks.CompanyLinksTest","tests.footerlinks.CompanyLinksTest","privacyPolicyLink","privacyPolicyLink",""
"passed","Fri May 17 20:05:47 GMT 2024","Fri May 17 20:05:47 GMT 2024","169","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to subscribe to the newsletter using an incorrect email format"
"passed","Fri May 17 20:01:43 GMT 2024","Fri May 17 20:01:44 GMT 2024","620","Main menu","The 'Sale' dropdown list","tests.mainmenu.saledropdownlist.SaleDropdownListTest","tests.mainmenu.saledropdownlist.SaleDropdownListTest","menLink","menLink","The ""Men"" link"
"passed","Fri May 17 20:09:29 GMT 2024","Fri May 17 20:09:32 GMT 2024","2256","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","min","min","Quantity- minimum"
"passed","Fri May 17 20:13:16 GMT 2024","Fri May 17 20:13:16 GMT 2024","235","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:02:38 GMT 2024","Fri May 17 20:02:40 GMT 2024","1101","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","correct","correct","Searching with a correct phrase"
"passed","Fri May 17 20:02:29 GMT 2024","Fri May 17 20:02:30 GMT 2024","1120","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","correct","correct","Searching with a correct phrase"
"passed","Fri May 17 20:00:51 GMT 2024","Fri May 17 20:00:52 GMT 2024","665","Main menu","The 'Accessories' dropdown list","tests.mainmenu.accessoriesdropdownlist.AccessoriesDropdownListTest","tests.mainmenu.accessoriesdropdownlist.AccessoriesDropdownListTest","bagsAndLuggage","bagsAndLuggage","The ""Bags and Luggage"" link"
"failed","Fri May 17 20:05:50 GMT 2024","Fri May 17 20:05:50 GMT 2024","179","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to subscribe to the newsletter using an incorrect email format"
"passed","Fri May 17 20:14:25 GMT 2024","Fri May 17 20:14:28 GMT 2024","2693","Shopping cart","Removing a product from the shopping cart","tests.shoppingcart.removing.RemovingProductTest","tests.shoppingcart.removing.RemovingProductTest","withQuantityField","withQuantityField","Removing a product from the shopping cart using a quantity field"
"passed","Fri May 17 20:13:24 GMT 2024","Fri May 17 20:13:24 GMT 2024","237","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","notNumber","notNumber","Entering a special character"
"passed","Fri May 17 19:58:57 GMT 2024","Fri May 17 19:58:58 GMT 2024","571","Main menu","Main menu links","tests.mainmenu.MainMenuLinksTest","tests.mainmenu.MainMenuLinksTest","accessoriesLink","accessoriesLink","The ""Accessories"" link"
"passed","Fri May 17 20:12:34 GMT 2024","Fri May 17 20:12:34 GMT 2024","249","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","negative","negative","Entering a negative value"
"passed","Fri May 17 20:01:34 GMT 2024","Fri May 17 20:01:35 GMT 2024","545","Main menu","The 'Sale' dropdown list","tests.mainmenu.saledropdownlist.SaleDropdownListTest","tests.mainmenu.saledropdownlist.SaleDropdownListTest","viewAllSaleLink","viewAllSaleLink","The ""View All Sale"" link"
"failed","Fri May 17 20:07:02 GMT 2024","Fri May 17 20:07:02 GMT 2024","232","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 20:01:13 GMT 2024","Fri May 17 20:01:14 GMT 2024","987","Main menu","The 'Home and Decor' dropdown list","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","bedAndBatchLink","bedAndBatchLink","The ""Bed & Bath"" link"
"passed","Fri May 17 20:06:18 GMT 2024","Fri May 17 20:06:19 GMT 2024","516","Footer","Sections links","tests.footerlinks.QuickLinksTest","tests.footerlinks.QuickLinksTest","siteMapLink","siteMapLink",""
"passed","Fri May 17 20:08:11 GMT 2024","Fri May 17 20:08:12 GMT 2024","1003","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","billingAgreementsLink","billingAgreementsLink","The ""Billing Agreements"" link"
"passed","Fri May 17 20:02:48 GMT 2024","Fri May 17 20:02:49 GMT 2024","1088","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","lowerUpper","lowerUpper","Searching with a correct phrase having upper and lower cases"
"passed","Fri May 17 20:09:59 GMT 2024","Fri May 17 20:10:01 GMT 2024","1671","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","aboveMax","aboveMax","Quantity- exceeding maximum (max + 1)"
"passed","Fri May 17 20:00:05 GMT 2024","Fri May 17 20:00:05 GMT 2024","669","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.MenDropdownListTest","tests.mainmenu.mendropdownlist.MenDropdownListTest","shirtsLink","shirtsLink","The ""Shirts"" link"
"passed","Fri May 17 20:04:16 GMT 2024","Fri May 17 20:04:17 GMT 2024","825","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:09:11 GMT 2024","Fri May 17 20:09:11 GMT 2024","259","Product page","Setting a product attributes","tests.productpage.cartAddition.SettingProductAttributesTest","tests.productpage.cartAddition.SettingProductAttributesTest","colorNotSelected","colorNotSelected",""
"passed","Fri May 17 20:01:22 GMT 2024","Fri May 17 20:01:23 GMT 2024","639","Main menu","The 'Home and Decor' dropdown list","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","decorativeAccentsLink","decorativeAccentsLink","The ""Decorative Accents"" link"
"passed","Fri May 17 20:05:11 GMT 2024","Fri May 17 20:05:11 GMT 2024","627","Promos section","Promos links","tests.promos.PromosSectionLinksTest","tests.promos.PromosSectionLinksTest","travelGearImage","travelGearImage","The ""Travel Gear"" image"
"passed","Fri May 17 19:59:19 GMT 2024","Fri May 17 19:59:19 GMT 2024","59","Main menu","The 'Women' dropdown list","tests.mainmenu.womendropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.womendropdownlist.ExpandingAndCollapsingTest","collapsingDropdownList","collapsingDropdownList","Collapsing the ""Women"" dropdown list"
"passed","Fri May 17 19:59:10 GMT 2024","Fri May 17 19:59:11 GMT 2024","1003","Main menu","Main menu links","tests.mainmenu.MainMenuLinksTest","tests.mainmenu.MainMenuLinksTest","vipLink","vipLink","The ""VIP"" link"
"passed","Fri May 17 20:05:54 GMT 2024","Fri May 17 20:05:54 GMT 2024","173","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to subscribe to the newsletter using an incorrect email format"
"passed","Fri May 17 20:00:21 GMT 2024","Fri May 17 20:00:23 GMT 2024","1463","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.MenDropdownListTest","tests.mainmenu.mendropdownlist.MenDropdownListTest","blazersLink","blazersLink","The ""Blazers"" link"
"passed","Fri May 17 19:59:52 GMT 2024","Fri May 17 19:59:52 GMT 2024","56","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.mendropdownlist.ExpandingAndCollapsingTest","collapsingDropdownList","collapsingDropdownList","Collapsing the ""Men"" dropdown list"
"passed","Fri May 17 20:04:08 GMT 2024","Fri May 17 20:04:08 GMT 2024","820","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:00:00 GMT 2024","Fri May 17 20:00:01 GMT 2024","747","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.MenDropdownListTest","tests.mainmenu.mendropdownlist.MenDropdownListTest","newArrivalsLink","newArrivalsLink","The ""New Arrivals"" link"
"passed","Fri May 17 20:07:40 GMT 2024","Fri May 17 20:07:41 GMT 2024","1369","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","accountDashboardLink","accountDashboardLink","The ""Account Dashboard"" link"
"passed","Fri May 17 20:00:30 GMT 2024","Fri May 17 20:00:30 GMT 2024","56","Main menu","The 'Accessories' dropdown list","tests.mainmenu.accessoriesdropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.accessoriesdropdownlist.ExpandingAndCollapsingTest","collapsingDropdownList","collapsingDropdownList","Collapsing the ""Accessories"" dropdown list"
"passed","Fri May 17 20:08:18 GMT 2024","Fri May 17 20:08:19 GMT 2024","1018","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","recurringProfilesLink","recurringProfilesLink","The ""Recurring Profiles"" link"
"passed","Fri May 17 20:04:38 GMT 2024","Fri May 17 20:04:38 GMT 2024","489","Account dropdown list","Links","tests.accountdropdownlist.AccountDropdownListLinksTest","tests.accountdropdownlist.AccountDropdownListLinksTest","myCartLink","myCartLink","The ""My Cart"" link"
"passed","Fri May 17 20:03:32 GMT 2024","Fri May 17 20:03:33 GMT 2024","1209","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","lowerUpper","lowerUpper","Searching with a correct phrase having upper and lower cases"
"passed","Fri May 17 20:12:51 GMT 2024","Fri May 17 20:12:51 GMT 2024","246","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:03:45 GMT 2024","Fri May 17 20:03:46 GMT 2024","800","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:13:33 GMT 2024","Fri May 17 20:13:33 GMT 2024","241","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","notNumber","notNumber","Entering a special character"
"passed","Fri May 17 20:00:09 GMT 2024","Fri May 17 20:00:13 GMT 2024","4009","Main menu","The 'Men' dropdown list","tests.mainmenu.mendropdownlist.MenDropdownListTest","tests.mainmenu.mendropdownlist.MenDropdownListTest","teesKnitsLink","teesKnitsLink","The ""Tees, Knits And Polos"" link"
"passed","Fri May 17 20:11:57 GMT 2024","Fri May 17 20:11:59 GMT 2024","2056","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","belowMax","belowMax","Quantity- shorter than maximum (max - 1)"
"passed","Fri May 17 19:59:22 GMT 2024","Fri May 17 19:59:23 GMT 2024","598","Main menu","The 'Women' dropdown list","tests.mainmenu.womendropdownlist.WomenDropdownListTest","tests.mainmenu.womendropdownlist.WomenDropdownListTest","viewAllWomenLink","viewAllWomenLink","The ""View All Women"" link"
"failed","Fri May 17 20:10:07 GMT 2024","Fri May 17 20:10:09 GMT 2024","2398","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:04:47 GMT 2024","Fri May 17 20:04:47 GMT 2024","489","Account dropdown list","Links","tests.accountdropdownlist.AccountDropdownListLinksTest","tests.accountdropdownlist.AccountDropdownListLinksTest","registerLink","registerLink","The ""Register"" link"
"passed","Fri May 17 20:08:40 GMT 2024","Fri May 17 20:08:41 GMT 2024","1097","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","myApplicationsLink","myApplicationsLink","The ""My Applications"" link"
"failed","Fri May 17 20:10:15 GMT 2024","Fri May 17 20:10:18 GMT 2024","2655","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:06:31 GMT 2024","Fri May 17 20:06:31 GMT 2024","744","Footer","Sections links","tests.footerlinks.AccountLinksTest","tests.footerlinks.AccountLinksTest","myAccountLink","myAccountLink",""
"passed","Fri May 17 20:01:04 GMT 2024","Fri May 17 20:01:05 GMT 2024","639","Main menu","The 'Home and Decor' dropdown list","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","viewAllHomeLink","viewAllHomeLink","The ""View All Home & Decor"" link"
"passed","Fri May 17 20:11:47 GMT 2024","Fri May 17 20:11:48 GMT 2024","1848","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","aboveMin","aboveMin","Quantity- exceeding minimum (min + 1)"
"passed","Fri May 17 20:01:47 GMT 2024","Fri May 17 20:01:48 GMT 2024","597","Main menu","The 'Sale' dropdown list","tests.mainmenu.saledropdownlist.SaleDropdownListTest","tests.mainmenu.saledropdownlist.SaleDropdownListTest","accessories","accessories","The ""Accessories"" link"
"passed","Fri May 17 20:07:22 GMT 2024","Fri May 17 20:07:23 GMT 2024","905","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"failed","Fri May 17 20:10:38 GMT 2024","Fri May 17 20:10:40 GMT 2024","1971","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","notANumber","notANumber","Entering a special character"
"passed","Fri May 17 20:09:03 GMT 2024","Fri May 17 20:09:05 GMT 2024","2415","Product page","Setting a product attributes","tests.productpage.cartAddition.SettingProductAttributesTest","tests.productpage.cartAddition.SettingProductAttributesTest","allAttributesSelected","allAttributesSelected","Adding a product to the cart selected all product attributes"
"passed","Fri May 17 20:09:22 GMT 2024","Fri May 17 20:09:24 GMT 2024","1832","Product page","Validation the quantity field","tests.productpage.quantityField.ValidationTest","tests.productpage.quantityField.ValidationTest","belowMin","belowMin","Quantity- shorter than minimum (min - 1)"
"passed","Fri May 17 19:59:42 GMT 2024","Fri May 17 19:59:44 GMT 2024","1841","Main menu","The 'Women' dropdown list","tests.mainmenu.womendropdownlist.WomenDropdownListTest","tests.mainmenu.womendropdownlist.WomenDropdownListTest","dressesAndSkirtsLink","dressesAndSkirtsLink","The ""Dresses & Skirts"" link"
"passed","Fri May 17 20:08:26 GMT 2024","Fri May 17 20:08:27 GMT 2024","988","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","myProductReviews","myProductReviews","The ""My Product Reviews"" link"
"passed","Fri May 17 20:04:59 GMT 2024","Fri May 17 20:04:59 GMT 2024","79","Expanding the mini cart","Clicking the 'Cart' link","tests.minicart.ExpandingAndCollapsingMiniCartTest","tests.minicart.ExpandingAndCollapsingMiniCartTest","collapsingMiniCart","collapsingMiniCart","Collapsing the mini cart"
"passed","Fri May 17 20:12:16 GMT 2024","Fri May 17 20:12:18 GMT 2024","2140","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","aboveMax","aboveMax","Quantity- exceeding maximum (max + 1)"
"passed","Fri May 17 20:08:03 GMT 2024","Fri May 17 20:08:05 GMT 2024","1099","Account","Side menu links","tests.account.SideMenuTest","tests.account.SideMenuTest","myOrdersLink","myOrdersLink","The ""My Orders"" link"
"passed","Fri May 17 19:58:53 GMT 2024","Fri May 17 19:58:54 GMT 2024","703","Main menu","Main menu links","tests.mainmenu.MainMenuLinksTest","tests.mainmenu.MainMenuLinksTest","menLink","menLink","The ""Men"" link"
"passed","Fri May 17 20:01:09 GMT 2024","Fri May 17 20:01:09 GMT 2024","571","Main menu","The 'Home and Decor' dropdown list","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","tests.mainmenu.homedecordropdownlist.HomeAndDecorDropdownListTest","booksAndMusicLink","booksAndMusicLink","The ""Books & Music"" link"
"passed","Fri May 17 19:59:15 GMT 2024","Fri May 17 19:59:15 GMT 2024","118","Main menu","The 'Women' dropdown list","tests.mainmenu.womendropdownlist.ExpandingAndCollapsingTest","tests.mainmenu.womendropdownlist.ExpandingAndCollapsingTest","expandingDropdownList","expandingDropdownList","Expanding the ""Women"" dropdown list"
"passed","Fri May 17 20:04:51 GMT 2024","Fri May 17 20:04:51 GMT 2024","431","Account dropdown list","Links","tests.accountdropdownlist.AccountDropdownListLinksTest","tests.accountdropdownlist.AccountDropdownListLinksTest","loginLink","loginLink","The ""Log in"" link"
"passed","Fri May 17 20:05:39 GMT 2024","Fri May 17 20:05:39 GMT 2024","184","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to subscribe to the newsletter using an incorrect email format"
"passed","Fri May 17 20:05:06 GMT 2024","Fri May 17 20:05:07 GMT 2024","630","Promos section","Promos links","tests.promos.PromosSectionLinksTest","tests.promos.PromosSectionLinksTest","shopPrivateSalesImage","shopPrivateSalesImage","The ""Shop Private Sales"" image"
"passed","Fri May 17 20:03:59 GMT 2024","Fri May 17 20:04:00 GMT 2024","861","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","incorrect","incorrect","Searching with an incorrect phrase"
"passed","Fri May 17 20:05:35 GMT 2024","Fri May 17 20:05:35 GMT 2024","500","Newsletter form","Subscription to the newsletter","tests.newsletter.SubscriptionToNewsletterTest","tests.newsletter.SubscriptionToNewsletterTest","correctEmail","correctEmail","Subscribing to the newsletter using correct email"
"passed","Fri May 17 20:01:56 GMT 2024","Fri May 17 20:01:56 GMT 2024","140","Search engine","Input text validation","tests.searchengine.InputTextValidationTest","tests.searchengine.InputTextValidationTest","checkInputText","checkInputText","Verification of the search field text input"
"passed","Fri May 17 20:07:32 GMT 2024","Fri May 17 20:07:34 GMT 2024","1971","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","correct","correct","Logging in using correct credentials"
"passed","Fri May 17 20:04:21 GMT 2024","Fri May 17 20:04:21 GMT 2024","111","Account dropdown list","Expanding and collapsing the dropdown list","tests.accountdropdownlist.ExpandingAndCollapsingTest","tests.accountdropdownlist.ExpandingAndCollapsingTest","expandingList","expandingList","Expanding the ""Account"" dropdown list"
"passed","Fri May 17 20:06:44 GMT 2024","Fri May 17 20:06:44 GMT 2024","83","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","passwordField","passwordField","Verification of the ""Password"" field text input"
"passed","Fri May 17 20:05:15 GMT 2024","Fri May 17 20:05:15 GMT 2024","81","Newsletter form","Input text validation","tests.newsletter.InputTextValidationTest","tests.newsletter.InputTextValidationTest","emailField","emailField","Verification of the newsletter field text input"
"passed","Fri May 17 20:07:17 GMT 2024","Fri May 17 20:07:18 GMT 2024","1273","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"passed","Fri May 17 20:11:36 GMT 2024","Fri May 17 20:11:39 GMT 2024","2035","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","min","min","Quantity- minimum"
"passed","Fri May 17 20:13:08 GMT 2024","Fri May 17 20:13:08 GMT 2024","232","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","floatingPoint","floatingPoint","Entering a floating point"
"passed","Fri May 17 20:13:41 GMT 2024","Fri May 17 20:13:41 GMT 2024","247","Shopping cart","Quantity field","tests.shoppingcart.quantityfield.ValidationTest","tests.shoppingcart.quantityfield.ValidationTest","notNumber","notNumber","Entering a special character"
"passed","Fri May 17 20:05:02 GMT 2024","Fri May 17 20:05:03 GMT 2024","543","Promos section","Promos links","tests.promos.PromosSectionLinksTest","tests.promos.PromosSectionLinksTest","PhysicalAndVirtualGiftCardsImage","PhysicalAndVirtualGiftCardsImage","The ""Home & Decor"" image"
"passed","Fri May 17 20:06:35 GMT 2024","Fri May 17 20:06:36 GMT 2024","493","Footer","Sections links","tests.footerlinks.AccountLinksTest","tests.footerlinks.AccountLinksTest","ordersAndReturnsLink","ordersAndReturnsLink",""
"passed","Fri May 17 20:04:55 GMT 2024","Fri May 17 20:04:55 GMT 2024","102","Expanding the mini cart","Clicking the 'Cart' link","tests.minicart.ExpandingAndCollapsingMiniCartTest","tests.minicart.ExpandingAndCollapsingMiniCartTest","expandingMiniCart","expandingMiniCart","Expanding the mini cart"
"passed","Fri May 17 20:02:53 GMT 2024","Fri May 17 20:02:54 GMT 2024","1412","Search engine","Searching for products","tests.searchengine.SearchingProductsTest","tests.searchengine.SearchingProductsTest","lowerUpper","lowerUpper","Searching with a correct phrase having upper and lower cases"
